5/1 1/1
6/1 23538/1
5/1 23482/1
23/1 23434/1
13/1 23379/1
29/1 23325/1
3/1 23271/1
14/1 23220/1
21/1 23170/1
32/1 23116/1
33/1 23067/1
15/1 23019/1
20/1 22968/1
11/1 22912/1
26/1 22860/1
23/1 22810/1
40/1 22754/1
12/1 22705/1
1/1 22652/1
21/1 22596/1
3/1 22546/1
38/1 22493/1
28/1 22438/1
15/1 22381/1
23/1 22333/1
2/1 22282/1
37/1 22231/1
23/1 22175/1
2/1 22118/1
6/1 22065/1
23/1 22013/1
35/1 21960/1
18/1 21908/1
16/1 21856/1
5/1 21804/1
10/1 21755/1
22/1 21698/1
3/1 21643/1
1/1 21591/1
10/1 21537/1
8/1 21487/1
27/1 21439/1
24/1 21390/1
16/1 21337/1
28/1 21288/1
23/1 21236/1
29/1 21183/1
27/1 21132/1
10/1 21084/1
8/1 21035/1
22/1 20987/1
33/1 20934/1
1/1 20882/1
40/1 20834/1
19/1 20777/1
29/1 20724/1
34/1 20672/1
26/1 20616/1
39/1 20565/1
7/1 20512/1
27/1 20456/1
23/1 20404/1
4/1 20348/1
10/1 20295/1
31/1 20239/1
9/1 20188/1
30/1 20140/1
20/1 20083/1
25/1 20035/1
22/1 19982/1
12/1 19925/1
21/1 19873/1
16/1 19817/1
14/1 19766/1
24/1 19709/1
32/1 19652/1
40/1 19601/1
25/1 19548/1
14/1 19497/1
33/1 19446/1
3/1 19398/1
7/1 19347/1
33/1 19292/1
5/1 19236/1
29/1 19181/1
4/1 19124/1
19/1 19070/1
37/1 19019/1
7/1 18962/1
40/1 18913/1
21/1 18865/1
31/1 18816/1
36/1 18762/1
7/1 18706/1
33/1 18650/1
4/1 18596/1
31/1 18539/1
10/1 18489/1
20/1 18436/1
24/1 18381/1
23/1 18327/1
7/1 18279/1
35/1 18229/1
26/1 18181/1
4/1 18129/1
22/1 18076/1
7/1 18024/1
28/1 17975/1
11/1 17922/1
10/1 17870/1
17/1 17820/1
21/1 17764/1
15/1 17715/1
22/1 17664/1
27/1 17612/1
1/1 17564/1
23/1 17508/1
1/1 17453/1
2/1 17397/1
10/1 17345/1
3/1 17296/1
13/1 17239/1
28/1 17190/1
3/1 17135/1
17/1 17085/1
24/1 17037/1
27/1 16983/1
16/1 16933/1
1/1 16878/1
14/1 16826/1
7/1 16773/1
32/1 16716/1
24/1 16667/1
4/1 16611/1
25/1 16556/1
20/1 16507/1
39/1 16458/1
1/1 16403/1
26/1 16351/1
32/1 16301/1
30/1 16249/1
25/1 16196/1
11/1 16146/1
20/1 16096/1
40/1 16044/1
18/1 15991/1
23/1 15943/1
5/1 15888/1
34/1 15840/1
16/1 15783/1
40/1 15731/1
13/1 15675/1
9/1 15624/1
6/1 15573/1
30/1 15519/1
36/1 15463/1
4/1 15413/1
26/1 15360/1
5/1 15305/1
9/1 15254/1
14/1 15199/1
2/1 15146/1
18/1 15091/1
30/1 15043/1
13/1 14986/1
28/1 14933/1
31/1 14881/1
21/1 14824/1
13/1 14770/1
31/1 14717/1
29/1 14662/1
22/1 14612/1
5/1 14563/1
28/1 14507/1
39/1 14451/1
6/1 14396/1
19/1 14348/1
11/1 14293/1
24/1 14240/1
37/1 14192/1
33/1 14139/1
38/1 14089/1
40/1 14034/1
34/1 13982/1
26/1 13931/1
20/1 13880/1
32/1 13830/1
38/1 13775/1
6/1 13720/1
38/1 13669/1
4/1 13616/1
34/1 13563/1
24/1 13507/1
13/1 13458/1
19/1 13406/1
28/1 13351/1
19/1 13295/1
26/1 13245/1
23/1 13197/1
28/1 13145/1
17/1 13097/1
19/1 13044/1
39/1 12992/1
23/1 12939/1
20/1 12891/1
31/1 12839/1
28/1 12785/1
13/1 12737/1
25/1 12683/1
23/1 12632/1
14/1 12583/1
11/1 12534/1
20/1 12479/1
36/1 12429/1
39/1 12376/1
37/1 12322/1
26/1 12268/1
12/1 12215/1
31/1 12161/1
12/1 12111/1
39/1 12062/1
9/1 12009/1
18/1 11959/1
29/1 11907/1
30/1 11857/1
38/1 11807/1
4/1 11750/1
26/1 11698/1
28/1 11647/1
17/1 11592/1
29/1 11540/1
24/1 11487/1
12/1 11435/1
22/1 11384/1
21/1 11332/1
28/1 11284/1
18/1 11230/1
37/1 11175/1
9/1 11123/1
22/1 11066/1
27/1 11010/1
24/1 10961/1
10/1 10904/1
36/1 10848/1
15/1 10796/1
6/1 10746/1
1/1 10698/1
40/1 10647/1
16/1 10599/1
38/1 10544/1
5/1 10490/1
39/1 10440/1
13/1 10386/1
10/1 10335/1
11/1 10287/1
35/1 10231/1
1/1 10175/1
2/1 10126/1
20/1 10072/1
31/1 10021/1
33/1 9966/1
28/1 9915/1
9/1 9861/1
37/1 9810/1
40/1 9757/1
3/1 9706/1
18/1 9652/1
11/1 9596/1
12/1 9546/1
1/1 9492/1
25/1 9441/1
35/1 9388/1
31/1 9334/1
21/1 9282/1
4/1 9227/1
8/1 9178/1
26/1 9124/1
27/1 9070/1
22/1 9021/1
21/1 8968/1
14/1 8911/1
23/1 8859/1
1/1 8808/1
37/1 8758/1
32/1 8701/1
26/1 8648/1
23/1 8599/1
3/1 8547/1
20/1 8497/1
22/1 8441/1
27/1 8384/1
15/1 8334/1
16/1 8278/1
34/1 8223/1
36/1 8166/1
10/1 8109/1
16/1 8052/1
36/1 8001/1
34/1 7947/1
25/1 7891/1
35/1 7834/1
22/1 7780/1
36/1 7732/1
12/1 7678/1
16/1 7626/1
26/1 7577/1
24/1 7528/1
6/1 7471/1
12/1 7422/1
19/1 7367/1
31/1 7312/1
17/1 7257/1
29/1 7206/1
33/1 7156/1
31/1 7101/1
33/1 7049/1
9/1 6995/1
13/1 6944/1
39/1 6893/1
11/1 6842/1
9/1 6787/1
7/1 6736/1
11/1 6686/1
23/1 6636/1
36/1 6585/1
22/1 6532/1
13/1 6475/1
15/1 6426/1
34/1 6372/1
16/1 6321/1
8/1 6270/1
6/1 6221/1
28/1 6169/1
36/1 6112/1
10/1 6059/1
17/1 6005/1
19/1 5951/1
21/1 5900/1
9/1 5847/1
27/1 5798/1
33/1 5742/1
12/1 5688/1
32/1 5636/1
5/1 5582/1
20/1 5534/1
7/1 5478/1
36/1 5429/1
30/1 5379/1
16/1 5327/1
12/1 5274/1
34/1 5226/1
7/1 5175/1
24/1 5121/1
21/1 5072/1
29/1 5022/1
40/1 4973/1
11/1 4922/1
28/1 4870/1
30/1 4816/1
27/1 4763/1
25/1 4713/1
8/1 4662/1
37/1 4610/1
31/1 4562/1
40/1 4513/1
20/1 4463/1
24/1 4408/1
38/1 4354/1
25/1 4299/1
8/1 4247/1
30/1 4190/1
5/1 1/1
